myhome_id,myhome_name,myhome_sub,ss_id,ss_name,ss_sub,score,method
"1270","სააკაძე გიორგის მოედანი","საბურთალო","695","ბენაშვილის ქ.","ჩუღურეთი",100,Geospatial
"4820","თეთრი გიორგის II ჩიხ.","სოფ. დიღომი","1568","თეთრი გიორგის ქ.","სოფ. დიღომი",100,SubDistrict
"4822","თეთრი გიორგის IV ჩიხ.","სოფ. დიღომი","1568","თეთრი გიორგის ქ.","სოფ. დიღომი",100,SubDistrict
"4821","თეთრი გიორგის III ჩიხ.","სოფ. დიღომი","1568","თეთრი გიორგის ქ.","სოფ. დიღომი",100,SubDistrict
"1870","ჯაბაური გიორგის შესახვევი","სვანეთის უბანი","746","მამარდაშვილის ქ.","სვანეთის უბანი",100,Geospatial
"1266","სააკაძე გიორგის I შესახვევი","ნაძალადევი","499","მანჯგალაძის ქ.","ნაძალადევი",100,Geospatial
"1267","სააკაძე გიორგის II შესახვევი","ნაძალადევი","499","მანჯგალაძის ქ.","ნაძალადევი",100,Geospatial
"1725","წერეთელი გიორგის ქუჩა; შესახვევი","ავლაბარი","833","ბაჩანას ქ.","ავლაბარი",100,Geospatial
"1264","სააკაძე გიორგის ქუჩა #1-21, 2-20","ნაძალადევი","548","შატილოვის ქ.","ნაძალადევი",100,Geospatial
"17698","გიორგიწმინდა","გიორგიწმინდას დას.","641","ევდოშვილის ქ.","დიდუბე",100,Geospatial
"1263","სააკაძე გიორგის ქუჩა #23 და ზემოთ","ნაძალადევი","548","შატილოვის ქ.","ნაძალადევი",100,Geospatial
"1265","სააკაძე გიორგის ქუჩა #22 და ზემოთ","ნაძალადევი","499","მანჯგალაძის ქ.","ნაძალადევი",100,Geospatial
"16827","გიორგი დანელიას ქ.","საბურთალო","2665","გ. დანელიას ქ.","საბურთალო",88,SubDistrict
"16691","გიორგი წერეთლის ქ.","ვაკე","46","წერეთლის გას.","ვაკე",80,SubDistrict
"21930","გიორგი ნადარეიშვილის ქ.","ნავთლუღი","2561","ნადარეიშვილის ქ.","ნავთლუღი",100,SubDistrict
"17040","გიორგი გურამიშვილის ქ.","კრწანისი","2795","გიორგი გურამიშვილის ქ.","მუხიანი",100,Global
"326","გლინკას ქ.","სან. ზონა","581","გლინკას ქ.","სანზონა",100,District
"5516","გლდანის ქ.","გლდანი","369","გლდანის ხევის ქ.","გლდანი",100,SubDistrict
"11213","გლდანისხევის ქ.","გლდანი","369","გლდანის ხევის ქ.","გლდანი",84,SubDistrict
"325","გლდანულას დას.","გლდანულა","370","გლდანულას დას.","გლდანი",100,District
"316","გლდანი - VI მ/რ","გლდანი","403","VI მიკრორაიონი - გლდანი","გლდანი",80,SubDistrict
"321","გლდანი - II მ/რ","გლდანი","395","II მიკრორაიონი - გლდანი","გლდანი",80,SubDistrict
"324","გლდანი - IV მ/რ","გლდანი","388","IV მიკრორაიონი - გლდანი","გლდანი",80,SubDistrict
"317","გლდანი - VII მ/რ","გლდანი","405","VII მიკრორაიონი - გლდანი","გლდანი",82,SubDistrict
"322","გლდანი - III მ/რ","გლდანი","1142","III მიკრორაიონი - გლდანი","გლდანი",82,SubDistrict
"318","გლდანი - VIII მ/რ","გლდანი","1143","VIII მიკრორაიონი - გლდანი","გლდანი",83,SubDistrict
"4570","კ. გლდანელის ქ.","სოფ. გლდანი","2781","კულა გლდანელის ქ.","გლდანი",88,District
"323","გლდანი - III ა მ/რ","გლდანი","1311","III ა მიკრორაიონი - გლდანი","გლდანი",85,SubDistrict
"328","გმირთა მოედანი","საბურთალო","1111","გმირთა მოედანი,","საბურთალო",100,SubDistrict
"5420","უცნობ გმირთა ქ.","თბილისის ზღვა","1374","უცნობ გმირთა ქ.","ნაძალადევი",100,District
"8745","მარუხის გმირების ქ.","ვაკე","26","მარუხის გმირების ქ.","ვაკე",100,SubDistrict
"3515","გმირი კურსანტების ქ.","გლდანი","371","გმირ კურსანტთა ქ.","გლდანი",86,SubDistrict
"2780","17 შინდისელი გმირის ქ.","ვარკეთილი","1395","17 შინდისელი გმირის ქ.","ვარკეთილი",100,SubDistrict
"343","გომის ქ.","აბანოთუბანი","1040","გომის ქ.","სოლოლაკი",100,District
"356","გორის ქ.","დიდუბე","638","გორის ქ.","დიდუბე",100,SubDistrict
"355","გორდის ქ.","ლოტკინი","446","გორდის ქ.","ნაძალადევი",100,District
"358","გორკის ქ.","ჩუღურეთი","708","გორკის ქ.","ჩუღურეთი",100,SubDistrict
"9408","გოგჩას ქ.","სოლოლაკი","707","გოგჩის ქ.","სოლოლაკი",89,SubDistrict
"339","გოკიელის ქ.","ლილო","334","გოკიელის ქ.","ლილო",100,SubDistrict
"342","გომბორის ქ.","ნაძალადევი","445","გომბორის ქ.","ნაძალადევი",100,SubDistrict
"7027","გომბორის ქ.","მუხიანი","445","გომბორის ქ.","ნაძალადევი",100,District
"340","გომარეთის ქ.","ნაძალადევი","444","გომარეთის ქ.","ნაძალადევი",100,SubDistrict
"4737","გორგასლის ქ.","სოფ. დიღომი","328","გორგასლის ქ.","ორთაჭალა",100,Global
"335","გოგოლაურის ქ.","დიდუბე","637","გოგოლაურის ქ.","დიდუბე",100,SubDistrict
"360","გორკის ჩიხი","ჩუღურეთი","708","გორკის ქ.","ჩუღურეთი",100,SubDistrict
"333","გოგიბერიძის ქ.","ჩუღურეთი","706","გოგიბერიძის ქ.","ჩუღურეთი",100,SubDistrict
"749","იყალთოს გორა","საბურთალო","76","იყალთოს გორა","საბურთალო",100,SubDistrict
"7227","საირმის გორა","საბურთალო","99","საირმის გორა,","საბურთალო",100,SubDistrict
"332","გოგებაშვილის ქ.","ვერა","911","გოგებაშვილის ქ.","ვერა",100,SubDistrict
"5026","გოგებაშვილის ქ.","წყნეთი","911","გოგებაშვილის ქ.","ვერა",100,Global
"9271","გოგებაშვილის ქ.","ლილო","911","გოგებაშვილის ქ.","ვერა",100,Global
"354","გორგასლის შეს.","ორთაჭალა","328","გორგასლის ქ.","ორთაჭალა",100,SubDistrict
"362","გოცირიძე ნ. ქ.","ჩუღურეთი","709","გოცირიძის ქ.","ჩუღურეთი",82,SubDistrict
"346","გომის I ჩიხი","აბანოთუბანი","1040","გომის ქ.","სოლოლაკი",100,District
"2724","ლ. გოთუას ქ.","საბურთალო","1088","გოთუას ქ.","საბურთალო",100,SubDistrict
"3384","გოძიაშვილი ვ. ქ.","ვაშლიჯვარი","64","გოძიაშვილის ქ.","ვაშლიჯვარი",100,SubDistrict
